  Epoch 1/100 | Batch 1320/2306 | Loss: 1.4977 | Acc: 0.3997
  Epoch 1/100 | Batch 1330/2306 | Loss: 1.4928 | Acc: 0.3989
  Epoch 1/100 | Batch 1340/2306 | Loss: 1.4982 | Acc: 0.3952
  Epoch 1/100 | Batch 1350/2306 | Loss: 1.5073 | Acc: 0.3941
  Epoch 1/100 | Batch 1360/2306 | Loss: 1.4912 | Acc: 0.3955
  Epoch 1/100 | Batch 1370/2306 | Loss: 1.4971 | Acc: 0.3950
  Epoch 1/100 | Batch 1380/2306 | Loss: 1.4984 | Acc: 0.3944
  Epoch 1/100 | Batch 1390/2306 | Loss: 1.4926 | Acc: 0.3995
  Epoch 1/100 | Batch 1400/2306 | Loss: 1.4824 | Acc: 0.4045
  Epoch 1/100 | Batch 1410/2306 | Loss: 1.5000 | Acc: 0.3951
  Epoch 1/100 | Batch 1420/2306 | Loss: 1.4871 | Acc: 0.4022
  Epoch 1/100 | Batch 1430/2306 | Loss: 1.4914 | Acc: 0.3977
  Epoch 1/100 | Batch 1440/2306 | Loss: 1.4821 | Acc: 0.4028
  Epoch 1/100 | Batch 1450/2306 | Loss: 1.4978 | Acc: 0.3970
  Epoch 1/100 | Batch 1460/2306 | Loss: 1.4728 | Acc: 0.4069
  Epoch 1/100 | Batch 1470/2306 | Loss: 1.4941 | Acc: 0.3949
  Epoch 1/100 | Batch 1480/2306 | Loss: 1.4930 | Acc: 0.3944
  Epoch 1/100 | Batch 1490/2306 | Loss: 1.4951 | Acc: 0.3991
  Epoch 1/100 | Batch 1500/2306 | Loss: 1.4882 | Acc: 0.4016
  Epoch 1/100 | Batch 1510/2306 | Loss: 1.4916 | Acc: 0.3990
  Epoch 1/100 | Batch 1520/2306 | Loss: 1.5038 | Acc: 0.3959
  Epoch 1/100 | Batch 1530/2306 | Loss: 1.5015 | Acc: 0.3940
  Epoch 1/100 | Batch 1540/2306 | Loss: 1.4855 | Acc: 0.4010
  Epoch 1/100 | Batch 1550/2306 | Loss: 1.4849 | Acc: 0.3991
  Epoch 1/100 | Batch 1560/2306 | Loss: 1.4917 | Acc: 0.3952
  Epoch 1/100 | Batch 1570/2306 | Loss: 1.4931 | Acc: 0.3993
  Epoch 1/100 | Batch 1580/2306 | Loss: 1.4848 | Acc: 0.4002
  Epoch 1/100 | Batch 1590/2306 | Loss: 1.4971 | Acc: 0.3935
  Epoch 1/100 | Batch 1600/2306 | Loss: 1.4858 | Acc: 0.3978
  Epoch 1/100 | Batch 1610/2306 | Loss: 1.4916 | Acc: 0.3953
  Epoch 1/100 | Batch 1620/2306 | Loss: 1.4949 | Acc: 0.3934
  Epoch 1/100 | Batch 1630/2306 | Loss: 1.4822 | Acc: 0.4013
  Epoch 1/100 | Batch 1640/2306 | Loss: 1.4851 | Acc: 0.3981
  Epoch 1/100 | Batch 1650/2306 | Loss: 1.4814 | Acc: 0.4018
  Epoch 1/100 | Batch 1660/2306 | Loss: 1.4826 | Acc: 0.4032
  Epoch 1/100 | Batch 1670/2306 | Loss: 1.4723 | Acc: 0.4031
  Epoch 1/100 | Batch 1680/2306 | Loss: 1.4825 | Acc: 0.3978
  Epoch 1/100 | Batch 1690/2306 | Loss: 1.4791 | Acc: 0.4019
  Epoch 1/100 | Batch 1700/2306 | Loss: 1.4779 | Acc: 0.4018
  Epoch 1/100 | Batch 1710/2306 | Loss: 1.4869 | Acc: 0.3980
  Epoch 1/100 | Batch 1720/2306 | Loss: 1.4859 | Acc: 0.3995
  Epoch 1/100 | Batch 1730/2306 | Loss: 1.4808 | Acc: 0.3969
  Epoch 1/100 | Batch 1740/2306 | Loss: 1.4867 | Acc: 0.3971
  Epoch 1/100 | Batch 1750/2306 | Loss: 1.4886 | Acc: 0.3978
  Epoch 1/100 | Batch 1760/2306 | Loss: 1.4886 | Acc: 0.3971
  Epoch 1/100 | Batch 1770/2306 | Loss: 1.4884 | Acc: 0.3984
  Epoch 1/100 | Batch 1780/2306 | Loss: 1.4805 | Acc: 0.3979
  Epoch 1/100 | Batch 1790/2306 | Loss: 1.4897 | Acc: 0.3960
  Epoch 1/100 | Batch 1800/2306 | Loss: 1.4829 | Acc: 0.3989
  Epoch 1/100 | Batch 1810/2306 | Loss: 1.4722 | Acc: 0.4047
  Epoch 1/100 | Batch 1820/2306 | Loss: 1.4820 | Acc: 0.3995
  Epoch 1/100 | Batch 1830/2306 | Loss: 1.4956 | Acc: 0.3937
  Epoch 1/100 | Batch 1840/2306 | Loss: 1.4867 | Acc: 0.3966
  Epoch 1/100 | Batch 1850/2306 | Loss: 1.4787 | Acc: 0.3998
  Epoch 1/100 | Batch 1860/2306 | Loss: 1.4681 | Acc: 0.4054
  Epoch 1/100 | Batch 1870/2306 | Loss: 1.4893 | Acc: 0.3930
  Epoch 1/100 | Batch 1880/2306 | Loss: 1.4675 | Acc: 0.4053
  Epoch 1/100 | Batch 1890/2306 | Loss: 1.4622 | Acc: 0.4071
  Epoch 1/100 | Batch 1900/2306 | Loss: 1.4817 | Acc: 0.3979
  Epoch 1/100 | Batch 1910/2306 | Loss: 1.4805 | Acc: 0.3968
  Epoch 1/100 | Batch 1920/2306 | Loss: 1.4740 | Acc: 0.4015
  Epoch 1/100 | Batch 1930/2306 | Loss: 1.4675 | Acc: 0.4059
  Epoch 1/100 | Batch 1940/2306 | Loss: 1.4735 | Acc: 0.4013
  Epoch 1/100 | Batch 1950/2306 | Loss: 1.4767 | Acc: 0.4015
  Epoch 1/100 | Batch 1960/2306 | Loss: 1.4788 | Acc: 0.4009
  Epoch 1/100 | Batch 1970/2306 | Loss: 1.4780 | Acc: 0.4011
  Epoch 1/100 | Batch 1980/2306 | Loss: 1.4772 | Acc: 0.4013
  Epoch 1/100 | Batch 1990/2306 | Loss: 1.4803 | Acc: 0.3989
  Epoch 1/100 | Batch 2000/2306 | Loss: 1.4746 | Acc: 0.4022
  Epoch 1/100 | Batch 2010/2306 | Loss: 1.4576 | Acc: 0.4079
  Epoch 1/100 | Batch 2020/2306 | Loss: 1.4769 | Acc: 0.4008
  Epoch 1/100 | Batch 2030/2306 | Loss: 1.4650 | Acc: 0.4000
  Epoch 1/100 | Batch 2040/2306 | Loss: 1.4717 | Acc: 0.4007
  Epoch 1/100 | Batch 2050/2306 | Loss: 1.4700 | Acc: 0.4029
  Epoch 1/100 | Batch 2060/2306 | Loss: 1.4735 | Acc: 0.3999
  Epoch 1/100 | Batch 2070/2306 | Loss: 1.4725 | Acc: 0.4010
  Epoch 1/100 | Batch 2080/2306 | Loss: 1.4730 | Acc: 0.4004
  Epoch 1/100 | Batch 2090/2306 | Loss: 1.4874 | Acc: 0.3963
